"comp_id";"comp_name";"comp_datetime"
"1";"MIP";"2021-11-22 21:26:11"
"2";"MKP";"2021-11-22 21:26:11"
"3";"RML";"2021-11-22 21:26:11"
"4";"MHA";"2021-11-22 21:26:11"
"5";"TASS";"2021-11-22 21:26:11"
"6";"PSU";"2021-11-22 21:26:11"
"7";"SUCOFINDO";"2021-11-22 21:26:11"
"8";"MPM";"2021-11-22 21:26:11"
"9";"ABP";"2021-11-22 21:26:11"
"10";"GMS";"2021-11-22 21:26:11"
"11";"MKPI";"2021-11-22 21:26:11"
"12";"MUP";"2021-11-22 21:26:11"
"14";"HASSCO";"2022-09-24 06:45:18"
"16";"CASC";"2023-06-09 14:41:48"
